,date,frequency,happiness,timeseries
37,2019-01-01,145361578.0,6.095,/api/v1/timeseries/3/
38,2019-01-02,156353260.0,6.007,/api/v1/timeseries/3/
39,2019-01-03,161389001.0,6.002,/api/v1/timeseries/3/
40,2019-01-04,163318124.0,5.983,/api/v1/timeseries/3/
41,2019-01-05,159511070.0,5.984,/api/v1/timeseries/3/
42,2019-01-06,162797842.0,5.991,/api/v1/timeseries/3/
459,2019-01-07,165908252.0,5.972,/api/v1/timeseries/3/
43,2019-01-08,165940429.0,5.947,/api/v1/timeseries/3/
44,2019-01-09,166364087.0,5.967,/api/v1/timeseries/3/
45,2019-01-10,167135653.0,5.964,/api/v1/timeseries/3/
46,2019-01-11,160907506.0,5.980,/api/v1/timeseries/3/
47,2019-01-12,157109794.0,5.973,/api/v1/timeseries/3/
48,2019-01-13,157738881.0,5.989,/api/v1/timeseries/3/
49,2019-01-14,158703846.0,5.977,/api/v1/timeseries/3/
50,2019-01-15,171002510.0,5.998,/api/v1/timeseries/3/
51,2019-01-16,166802299.0,5.955,/api/v1/timeseries/3/
52,2019-01-17,167547322.0,5.963,/api/v1/timeseries/3/
53,2019-01-18,158984524.0,5.966,/api/v1/timeseries/3/
54,2019-01-19,160700020.0,5.972,/api/v1/timeseries/3/
55,2019-01-20,169879487.0,5.970,/api/v1/timeseries/3/
56,2019-01-21,169251165.0,5.967,/api/v1/timeseries/3/
460,2019-01-22,171355691.0,5.947,/api/v1/timeseries/3/
57,2019-01-23,174722626.0,5.954,/api/v1/timeseries/3/
58,2019-01-24,168531339.0,5.956,/api/v1/timeseries/3/
59,2019-01-25,167767985.0,5.941,/api/v1/timeseries/3/
60,2019-01-26,147824011.0,5.959,/api/v1/timeseries/3/
61,2019-01-27,153405324.0,5.955,/api/v1/timeseries/3/
62,2019-01-28,160171712.0,5.975,/api/v1/timeseries/3/
63,2019-01-29,165939282.0,5.948,/api/v1/timeseries/3/
64,2019-01-30,179626063.0,5.960,/api/v1/timeseries/3/
65,2019-01-31,168699290.0,5.971,/api/v1/timeseries/3/
66,2019-02-01,160158374.0,5.994,/api/v1/timeseries/3/
67,2019-02-02,150349613.0,5.979,/api/v1/timeseries/3/
68,2019-02-03,162817601.0,5.977,/api/v1/timeseries/3/
69,2019-02-04,161347240.0,5.974,/api/v1/timeseries/3/
