,date,frequency,happiness,timeseries
40,2019-01-01,32844231.0,6.299,/api/v1/timeseries/6/
41,2019-01-02,41304456.0,6.214,/api/v1/timeseries/6/
42,2019-01-03,42356064.0,6.194,/api/v1/timeseries/6/
43,2019-01-04,42188542.0,6.187,/api/v1/timeseries/6/
44,2019-01-05,40060853.0,6.188,/api/v1/timeseries/6/
45,2019-01-06,40946618.0,6.210,/api/v1/timeseries/6/
46,2019-01-07,43417313.0,6.189,/api/v1/timeseries/6/
47,2019-01-08,44357111.0,6.178,/api/v1/timeseries/6/
48,2019-01-09,47249344.0,6.170,/api/v1/timeseries/6/
49,2019-01-10,49768817.0,6.160,/api/v1/timeseries/6/
50,2019-01-11,45208094.0,6.183,/api/v1/timeseries/6/
51,2019-01-12,40768572.0,6.187,/api/v1/timeseries/6/
52,2019-01-13,45110137.0,6.170,/api/v1/timeseries/6/
53,2019-01-14,46513596.0,6.172,/api/v1/timeseries/6/
54,2019-01-15,46542906.0,6.191,/api/v1/timeseries/6/
55,2019-01-16,45303509.0,6.189,/api/v1/timeseries/6/
56,2019-01-17,47336383.0,6.172,/api/v1/timeseries/6/
57,2019-01-18,43637764.0,6.177,/api/v1/timeseries/6/
58,2019-01-19,40862678.0,6.137,/api/v1/timeseries/6/
59,2019-01-20,43701807.0,6.131,/api/v1/timeseries/6/
60,2019-01-21,49982256.0,6.136,/api/v1/timeseries/6/
61,2019-01-22,51066249.0,6.175,/api/v1/timeseries/6/
62,2019-01-23,65296752.0,6.155,/api/v1/timeseries/6/
63,2019-01-24,56954245.0,6.157,/api/v1/timeseries/6/
64,2019-01-25,51057088.0,6.182,/api/v1/timeseries/6/
65,2019-01-26,46555006.0,6.175,/api/v1/timeseries/6/
66,2019-01-27,47055921.0,6.173,/api/v1/timeseries/6/
67,2019-01-28,50230989.0,6.164,/api/v1/timeseries/6/
68,2019-01-29,51237580.0,6.151,/api/v1/timeseries/6/
69,2019-01-30,52084652.0,6.174,/api/v1/timeseries/6/
70,2019-01-31,50924611.0,6.187,/api/v1/timeseries/6/
71,2019-02-01,46803483.0,6.184,/api/v1/timeseries/6/
72,2019-02-02,46287919.0,6.200,/api/v1/timeseries/6/
73,2019-02-03,46734096.0,6.176,/api/v1/timeseries/6/
74,2019-02-04,49751359.0,6.169,/api/v1/timeseries/6/
75,2019-02-05,47257535.0,6.167,/api/v1/timeseries/6/
76,2019-02-06,49492569.0,6.154,/api/v1/timeseries/6/
77,2019-02-07,51225510.0,6.157,/api/v1/timeseries/6/
78,2019-02-08,47215491.0,6.168,/api/v1/timeseries/6/
79,2019-02-09,42355141.0,6.180,/api/v1/timeseries/6/
80,2019-02-10,51684320.0,6.205,/api/v1/timeseries/6/
81,2019-02-11,48169835.0,6.187,/api/v1/timeseries/6/
82,2019-02-12,48349314.0,6.178,/api/v1/timeseries/6/
83,2019-02-13,47385433.0,6.188,/api/v1/timeseries/6/
84,2019-02-14,44288046.0,6.236,/api/v1/timeseries/6/
85,2019-02-15,44167923.0,6.184,/api/v1/timeseries/6/
86,2019-02-16,39515521.0,6.184,/api/v1/timeseries/6/
87,2019-02-17,43888952.0,6.197,/api/v1/timeseries/6/
88,2019-02-18,48215793.0,6.192,/api/v1/timeseries/6/
89,2019-02-19,49391361.0,6.187,/api/v1/timeseries/6/
90,2019-02-20,49323497.0,6.182,/api/v1/timeseries/6/
