,date,frequency,happiness,timeseries
37,2019-01-01,1567957.0,6.051,/api/v1/timeseries/18/
38,2019-01-02,1658487.0,6.013,/api/v1/timeseries/18/
39,2019-01-03,1739848.0,5.980,/api/v1/timeseries/18/
40,2019-01-04,1860725.0,5.988,/api/v1/timeseries/18/
41,2019-01-05,1749233.0,6.003,/api/v1/timeseries/18/
42,2019-01-06,1778482.0,6.001,/api/v1/timeseries/18/
447,2019-01-07,1889857.0,5.960,/api/v1/timeseries/18/
43,2019-01-08,1976898.0,5.882,/api/v1/timeseries/18/
44,2019-01-09,1832652.0,5.959,/api/v1/timeseries/18/
45,2019-01-10,1876357.0,5.970,/api/v1/timeseries/18/
46,2019-01-11,1924783.0,6.004,/api/v1/timeseries/18/
47,2019-01-12,1693447.0,6.005,/api/v1/timeseries/18/
48,2019-01-13,1775162.0,6.019,/api/v1/timeseries/18/
49,2019-01-14,1794635.0,6.019,/api/v1/timeseries/18/
50,2019-01-15,1882254.0,6.009,/api/v1/timeseries/18/
51,2019-01-16,1828291.0,5.991,/api/v1/timeseries/18/
52,2019-01-17,1813896.0,5.954,/api/v1/timeseries/18/
53,2019-01-18,1792545.0,5.998,/api/v1/timeseries/18/
54,2019-01-19,1645390.0,6.047,/api/v1/timeseries/18/
55,2019-01-20,1697198.0,6.028,/api/v1/timeseries/18/
56,2019-01-21,1768201.0,6.020,/api/v1/timeseries/18/
448,2019-01-22,1881473.0,6.028,/api/v1/timeseries/18/
57,2019-01-23,1901163.0,5.999,/api/v1/timeseries/18/
58,2019-01-24,1879190.0,6.027,/api/v1/timeseries/18/
59,2019-01-25,1853102.0,6.064,/api/v1/timeseries/18/
60,2019-01-26,1720687.0,6.047,/api/v1/timeseries/18/
61,2019-01-27,1774849.0,6.008,/api/v1/timeseries/18/
62,2019-01-28,1789741.0,6.033,/api/v1/timeseries/18/
63,2019-01-29,1814129.0,6.005,/api/v1/timeseries/18/
64,2019-01-30,1848386.0,6.012,/api/v1/timeseries/18/
65,2019-01-31,1828894.0,6.052,/api/v1/timeseries/18/
66,2019-02-01,1789835.0,6.040,/api/v1/timeseries/18/
67,2019-02-02,1639516.0,5.985,/api/v1/timeseries/18/
68,2019-02-03,1748772.0,6.000,/api/v1/timeseries/18/
69,2019-02-04,1767405.0,6.027,/api/v1/timeseries/18/
70,2019-02-05,1899191.0,6.024,/api/v1/timeseries/18/
449,2019-02-06,1889182.0,6.042,/api/v1/timeseries/18/
71,2019-02-07,1775837.0,6.018,/api/v1/timeseries/18/
72,2019-02-08,1766182.0,6.048,/api/v1/timeseries/18/
73,2019-02-09,1771476.0,6.045,/api/v1/timeseries/18/
74,2019-02-10,1851825.0,6.011,/api/v1/timeseries/18/
75,2019-02-11,1800125.0,6.036,/api/v1/timeseries/18/
76,2019-02-12,1779937.0,6.023,/api/v1/timeseries/18/
77,2019-02-13,1987164.0,6.028,/api/v1/timeseries/18/
78,2019-02-14,1900127.0,6.060,/api/v1/timeseries/18/
79,2019-02-15,1838051.0,6.058,/api/v1/timeseries/18/
80,2019-02-16,1744771.0,6.032,/api/v1/timeseries/18/
81,2019-02-17,1670511.0,6.033,/api/v1/timeseries/18/
82,2019-02-18,1834399.0,6.012,/api/v1/timeseries/18/
83,2019-02-19,2090099.0,5.970,/api/v1/timeseries/18/
84,2019-02-20,2016805.0,5.998,/api/v1/timeseries/18/
450,2019-02-21,1900392.0,5.986,/api/v1/timeseries/18/
85,2019-02-22,1823256.0,6.035,/api/v1/timeseries/18/
86,2019-02-23,1622968.0,6.045,/api/v1/timeseries/18/
87,2019-02-24,1743664.0,6.014,/api/v1/timeseries/18/
88,2019-02-25,1807117.0,5.987,/api/v1/timeseries/18/
89,2019-02-26,1859025.0,6.031,/api/v1/timeseries/18/
90,2019-02-27,1853567.0,6.036,/api/v1/timeseries/18/
91,2019-02-28,1882971.0,6.030,/api/v1/timeseries/18/
92,2019-03-01,1816269.0,6.037,/api/v1/timeseries/18/
93,2019-03-02,1773733.0,5.942,/api/v1/timeseries/18/
94,2019-03-03,1763351.0,6.013,/api/v1/timeseries/18/
95,2019-03-04,2053724.0,6.035,/api/v1/timeseries/18/
96,2019-03-05,2083533.0,6.031,/api/v1/timeseries/18/
97,2019-03-06,1963371.0,6.027,/api/v1/timeseries/18/
98,2019-03-07,1959104.0,6.036,/api/v1/timeseries/18/
451,2019-03-08,1888178.0,6.040,/api/v1/timeseries/18/
99,2019-03-09,1715169.0,6.064,/api/v1/timeseries/18/
100,2019-03-10,1938020.0,6.066,/api/v1/timeseries/18/
101,2019-03-11,1819787.0,6.034,/api/v1/timeseries/18/
102,2019-03-12,1874352.0,6.039,/api/v1/timeseries/18/
103,2019-03-13,2060333.0,5.992,/api/v1/timeseries/18/
104,2019-03-14,1966140.0,6.025,/api/v1/timeseries/18/
105,2019-03-15,2085475.0,6.001,/api/v1/timeseries/18/
106,2019-03-16,1866190.0,6.021,/api/v1/timeseries/18/
107,2019-03-17,1771634.0,6.048,/api/v1/timeseries/18/
108,2019-03-18,1781657.0,6.032,/api/v1/timeseries/18/
109,2019-03-19,1879380.0,6.056,/api/v1/timeseries/18/
110,2019-03-20,2099239.0,5.936,/api/v1/timeseries/18/
111,2019-03-21,2098390.0,5.829,/api/v1/timeseries/18/
112,2019-03-22,1896437.0,5.911,/api/v1/timeseries/18/
452,2019-03-23,1983699.0,6.009,/api/v1/timeseries/18/
113,2019-03-24,1951420.0,5.981,/api/v1/timeseries/18/
114,2019-03-25,2088752.0,5.914,/api/v1/timeseries/18/
115,2019-03-26,2880745.0,5.953,/api/v1/timeseries/18/
116,2019-03-27,2121972.0,6.054,/api/v1/timeseries/18/
117,2019-03-28,1931130.0,6.063,/api/v1/timeseries/18/
118,2019-03-29,1843423.0,6.085,/api/v1/timeseries/18/
119,2019-03-30,1592828.0,6.063,/api/v1/timeseries/18/
120,2019-03-31,1721839.0,6.025,/api/v1/timeseries/18/
121,2019-04-01,1777702.0,6.046,/api/v1/timeseries/18/
122,2019-04-02,1826723.0,6.021,/api/v1/timeseries/18/
123,2019-04-03,1892731.0,5.990,/api/v1/timeseries/18/
124,2019-04-04,1993636.0,5.995,/api/v1/timeseries/18/
125,2019-04-05,1862573.0,6.048,/api/v1/timeseries/18/
126,2019-04-06,1831372.0,6.049,/api/v1/timeseries/18/
453,2019-04-07,1776299.0,6.029,/api/v1/timeseries/18/
127,2019-04-08,1867735.0,6.006,/api/v1/timeseries/18/
128,2019-04-09,1810396.0,5.995,/api/v1/timeseries/18/
129,2019-04-10,1874369.0,6.056,/api/v1/timeseries/18/
130,2019-04-11,1953436.0,6.035,/api/v1/timeseries/18/
131,2019-04-12,1826893.0,6.050,/api/v1/timeseries/18/
132,2019-04-13,1560836.0,6.036,/api/v1/timeseries/18/
133,2019-04-14,1654634.0,6.019,/api/v1/timeseries/18/
134,2019-04-15,1843122.0,5.997,/api/v1/timeseries/18/
135,2019-04-16,1804484.0,6.017,/api/v1/timeseries/18/
136,2019-04-17,1752898.0,5.985,/api/v1/timeseries/18/
137,2019-04-18,1724828.0,6.013,/api/v1/timeseries/18/
138,2019-04-19,1509400.0,6.037,/api/v1/timeseries/18/
454,2019-04-20,1489972.0,6.049,/api/v1/timeseries/18/
139,2019-04-21,1548470.0,6.046,/api/v1/timeseries/18/
140,2019-04-22,1700662.0,6.059,/api/v1/timeseries/18/
