,Entity,Year,Productivity,Life satisfaction in Cantril Ladder
0,Argentina,2006,17.67194,6.313
1,Argentina,2007,18.664129,6.0729999999999995
2,Argentina,2008,19.550048999999998,5.961
3,Argentina,2009,18.543003,6.4239999999999995
4,Argentina,2010,20.23,6.441
5,Argentina,2011,21.44911,6.776
6,Argentina,2012,21.437298000000002,6.468
7,Argentina,2013,21.548719000000002,6.582000000000001
8,Argentina,2014,21.150029999999997,6.671
9,Argentina,2015,21.29937,6.697
10,Argentina,2016,21.183163,6.4270000000000005
11,Argentina,2017,21.749641,6.039
12,Australia,2005,45.976162,7.341
13,Australia,2007,45.908466,7.285
14,Australia,2008,47.30357,7.254
15,Australia,2010,50.503040000000006,7.45
16,Australia,2011,52.322773,7.406000000000001
17,Australia,2012,52.50305600000001,7.196000000000001
18,Australia,2013,53.549725,7.364
19,Australia,2014,54.28088,7.289
20,Australia,2015,51.537594,7.309
21,Australia,2016,54.122645999999996,7.25
22,Australia,2017,54.590942000000005,7.257000000000001
23,Austria,2006,47.237778000000006,7.122000000000001
24,Austria,2008,49.313515,7.181
25,Austria,2010,49.893505,7.303
26,Austria,2011,50.874996,7.471
27,Austria,2012,52.943408999999996,7.401
28,Austria,2013,52.703903000000004,7.499
29,Austria,2014,54.838917,6.95
30,Austria,2015,56.620911,7.0760000000000005
31,Austria,2016,56.392387,7.047999999999999
32,Austria,2017,57.436661,7.294
33,Bangladesh,2006,2.1174192,4.319
34,Bangladesh,2007,2.2973101000000002,4.607
35,Bangladesh,2008,2.5062398999999997,5.052
36,Bangladesh,2009,2.6503162000000002,5.083
37,Bangladesh,2010,2.94453,4.8580000000000005
38,Bangladesh,2011,3.2647588,4.986000000000001
39,Bangladesh,2012,3.1621330000000003,4.724
40,Bangladesh,2013,3.3607697,4.66
41,Bangladesh,2014,3.4916494,4.636
42,Bangladesh,2015,3.6578555,4.633
43,Bangladesh,2016,3.7545421,4.556
44,Bangladesh,2017,3.9739883000000003,4.31
45,Belgium,2005,54.604335999999996,7.2620000000000005
46,Belgium,2007,52.69931,7.218999999999999
47,Belgium,2008,56.757819999999995,7.117000000000001
48,Belgium,2010,60.096947,6.854
49,Belgium,2011,59.850201,7.111000000000001
50,Belgium,2012,60.87474399999999,6.935
51,Belgium,2013,60.601668999999994,7.104
52,Belgium,2014,60.029506999999995,6.855
53,Belgium,2015,58.377345999999996,6.904
54,Belgium,2016,58.206379000000005,6.949
55,Belgium,2017,59.649547999999996,6.928
56,Brazil,2005,10.218952999999999,6.6370000000000005
57,Brazil,2007,11.895355,6.321000000000001
58,Brazil,2008,13.056262,6.691
59,Brazil,2009,13.475542,7.001
60,Brazil,2010,15.366798999999999,6.837000000000001
61,Brazil,2011,16.950859,7.037999999999999
62,Brazil,2012,16.957285,6.66
63,Brazil,2013,17.148948999999998,7.14
64,Brazil,2014,16.800144,6.981
65,Brazil,2015,16.322032999999998,6.547000000000001
66,Brazil,2016,16.182266000000002,6.375
67,Brazil,2017,16.340326,6.332999999999999
68,Bulgaria,2007,16.475576,3.844
69,Bulgaria,2010,18.586482999999998,3.912
70,Bulgaria,2011,19.28912,3.875
71,Bulgaria,2012,20.312969,4.2219999999999995
72,Bulgaria,2013,19.902174,3.9930000000000003
73,Bulgaria,2014,20.592684,4.438
74,Bulgaria,2015,21.212688,4.865
75,Bulgaria,2016,22.208660000000002,4.838
76,Bulgaria,2017,23.260147,5.0969999999999995
77,Cambodia,2006,1.5330264999999998,3.569
78,Cambodia,2007,1.6654518,4.156000000000001
79,Cambodia,2008,1.7986577000000001,4.462
80,Cambodia,2009,1.6651466000000001,4.111000000000001
81,Cambodia,2010,1.7318,4.141
82,Cambodia,2011,1.8397888,4.1610000000000005
83,Cambodia,2012,1.9416935000000002,3.8989999999999996
84,Cambodia,2013,2.1547282,3.674
85,Cambodia,2014,2.1629019,3.883
86,Cambodia,2015,2.2603822,4.162
87,Cambodia,2016,2.1720238,4.461
88,Cambodia,2017,2.2441418,4.586
89,Canada,2005,46.731682,7.417999999999999
