,date,frequency,happiness,timeseries
40,2019-01-01,23664714.0,6.133,/api/v1/timeseries/9/
41,2019-01-02,27536130.0,6.099,/api/v1/timeseries/9/
42,2019-01-03,28454633.0,6.077,/api/v1/timeseries/9/
43,2019-01-04,27710363.0,6.070,/api/v1/timeseries/9/
44,2019-01-05,25443349.0,6.079,/api/v1/timeseries/9/
45,2019-01-06,25783936.0,6.078,/api/v1/timeseries/9/
46,2019-01-07,26085750.0,6.072,/api/v1/timeseries/9/
47,2019-01-08,27502153.0,6.080,/api/v1/timeseries/9/
48,2019-01-09,27880584.0,6.090,/api/v1/timeseries/9/
49,2019-01-10,27292023.0,6.094,/api/v1/timeseries/9/
50,2019-01-11,24531960.0,6.112,/api/v1/timeseries/9/
51,2019-01-12,22141908.0,6.104,/api/v1/timeseries/9/
52,2019-01-13,24172331.0,6.077,/api/v1/timeseries/9/
53,2019-01-14,25692480.0,6.073,/api/v1/timeseries/9/
54,2019-01-15,27660561.0,6.076,/api/v1/timeseries/9/
55,2019-01-16,26990836.0,6.058,/api/v1/timeseries/9/
56,2019-01-17,27371511.0,6.060,/api/v1/timeseries/9/
57,2019-01-18,26217978.0,6.064,/api/v1/timeseries/9/
58,2019-01-19,23369229.0,6.077,/api/v1/timeseries/9/
59,2019-01-20,26218398.0,6.065,/api/v1/timeseries/9/
60,2019-01-21,26841027.0,6.063,/api/v1/timeseries/9/
61,2019-01-22,29064064.0,6.036,/api/v1/timeseries/9/
62,2019-01-23,28641872.0,6.051,/api/v1/timeseries/9/
63,2019-01-24,29053300.0,6.054,/api/v1/timeseries/9/
64,2019-01-25,28102925.0,6.033,/api/v1/timeseries/9/
65,2019-01-26,25029414.0,6.042,/api/v1/timeseries/9/
66,2019-01-27,25490629.0,6.054,/api/v1/timeseries/9/
67,2019-01-28,27900800.0,6.066,/api/v1/timeseries/9/
68,2019-01-29,28763592.0,6.063,/api/v1/timeseries/9/
69,2019-01-30,29230944.0,6.063,/api/v1/timeseries/9/
70,2019-01-31,28495482.0,6.076,/api/v1/timeseries/9/
71,2019-02-01,26278169.0,6.075,/api/v1/timeseries/9/
72,2019-02-02,25494181.0,6.038,/api/v1/timeseries/9/
73,2019-02-03,27096358.0,6.046,/api/v1/timeseries/9/
74,2019-02-04,27026127.0,6.046,/api/v1/timeseries/9/
