symbol,date,price
NVDA,1/3/2022,301.21
NVDA,12/31/2021,294.11
NVDA,11/30/2021,326.76
NVDA,10/29/2021,255.67
NVDA,9/30/2021,207.16
NVDA,8/31/2021,223.85
NVDA,7/30/2021,194.99
NVDA,6/30/2021,800.1
NVDA,5/28/2021,649.78
NVDA,4/30/2021,600.38
NVDA,3/31/2021,533.93
NVDA,2/26/2021,548.58
NVDA,1/29/2021,519.59
NVDA,12/31/2020,522.2
NVDA,11/30/2020,536.06
NVDA,10/30/2020,501.36
NVDA,9/30/2020,541.22
NVDA,8/31/2020,534.98
NVDA,7/31/2020,424.59
NVDA,6/30/2020,379.91
NVDA,5/29/2020,355.02
NVDA,4/30/2020,292.28
NVDA,3/31/2020,263.6
NVDA,2/28/2020,270.07
NVDA,1/31/2020,236.43
NVDA,12/31/2019,235.3
NVDA,11/29/2019,216.74
NVDA,10/31/2019,201.02
NVDA,9/30/2019,174.07
NVDA,8/30/2019,167.51
NVDA,7/31/2019,168.72
NVDA,6/28/2019,164.23
NVDA,5/31/2019,135.46
NVDA,4/30/2019,181
NVDA,3/29/2019,179.56
NVDA,2/28/2019,154.26
NVDA,1/31/2019,143.75
NVDA,12/31/2018,133.5
NVDA,11/30/2018,163.43
NVDA,10/31/2018,210.83
NVDA,9/28/2018,281.02
NVDA,8/31/2018,280.68
NVDA,7/31/2018,244.86
NVDA,6/29/2018,236.9
NVDA,5/31/2018,252.19
NVDA,4/30/2018,224.9
NVDA,3/29/2018,231.59
NVDA,2/28/2018,242
NVDA,1/31/2018,245.8
NVDA,12/29/2017,193.5
NVDA,11/30/2017,200.71
NVDA,10/31/2017,206.81
NVDA,9/29/2017,178.77
NVDA,8/31/2017,169.44
NVDA,7/31/2017,162.51
NVDA,6/30/2017,144.56
NVDA,5/31/2017,144.35
NVDA,4/28/2017,104.3
NVDA,3/31/2017,108.93
NVDA,2/28/2017,101.48
NVDA,1/31/2017,109.18
NVDA,12/30/2016,106.74
NVDA,11/30/2016,92.2
NVDA,10/31/2016,71.16
NVDA,9/30/2016,68.52
NVDA,8/31/2016,61.34
NVDA,7/29/2016,57.1
NVDA,6/30/2016,47.01
NVDA,5/31/2016,46.72
NVDA,4/29/2016,35.53
NVDA,3/31/2016,35.63
NVDA,2/29/2016,31.36
NVDA,1/29/2016,29.29
NVDA,12/31/2015,32.96
NVDA,11/30/2015,31.72
NVDA,10/30/2015,28.37
NVDA,9/30/2015,24.64
NVDA,8/31/2015,22.48
NVDA,7/31/2015,19.95
NVDA,6/30/2015,20.11
NVDA,5/29/2015,22.13
NVDA,4/30/2015,22.195
NVDA,3/31/2015,20.925
NVDA,2/27/2015,22.06
NVDA,1/30/2015,19.205
IBM,1/3/2022,136.04
IBM,12/31/2021,133.66
IBM,11/30/2021,117.1
IBM,10/29/2021,125.1
IBM,9/30/2021,138.93
IBM,8/31/2021,140.34
IBM,7/30/2021,140.96
IBM,6/30/2021,146.59
IBM,5/28/2021,143.74
IBM,4/30/2021,141.88
IBM,3/31/2021,133.26
IBM,2/26/2021,118.93
IBM,1/29/2021,119.11
IBM,12/31/2020,125.88
IBM,11/30/2020,123.52
IBM,10/30/2020,111.66
IBM,9/30/2020,121.67
IBM,8/31/2020,123.31
IBM,7/31/2020,122.94
IBM,6/30/2020,120.77
IBM,5/29/2020,124.9
IBM,4/30/2020,125.56
IBM,3/31/2020,110.93
IBM,2/28/2020,130.15
IBM,1/31/2020,143.73
IBM,12/31/2019,134.04
IBM,11/29/2019,134.45
IBM,10/31/2019,133.73
IBM,9/30/2019,145.42
IBM,8/30/2019,135.53
IBM,7/31/2019,148.24
IBM,6/28/2019,137.9
IBM,5/31/2019,126.99
IBM,4/30/2019,140.27
IBM,3/29/2019,141.1
IBM,2/28/2019,138.13
IBM,1/31/2019,134.42
IBM,12/31/2018,113.67
IBM,11/30/2018,124.27
IBM,10/31/2018,115.43
IBM,9/28/2018,151.21
IBM,8/31/2018,146.48
IBM,7/31/2018,144.93
IBM,6/29/2018,139.7
IBM,5/31/2018,141.31
IBM,4/30/2018,144.96
IBM,3/29/2018,153.43
IBM,2/28/2018,155.83
IBM,1/31/2018,163.7
IBM,12/29/2017,153.42
IBM,11/30/2017,153.97
IBM,10/31/2017,154.06
IBM,9/29/2017,145.08
IBM,8/31/2017,143.03
IBM,7/31/2017,144.67
IBM,6/30/2017,153.83
IBM,5/31/2017,152.63
IBM,4/28/2017,160.29
IBM,3/31/2017,174.14
IBM,2/28/2017,179.82
IBM,1/31/2017,174.52
IBM,12/30/2016,165.99
IBM,11/30/2016,162.22
IBM,10/31/2016,153.69
IBM,9/30/2016,158.85
IBM,8/31/2016,158.88
IBM,7/29/2016,160.62
IBM,6/30/2016,151.78
IBM,5/31/2016,153.74
IBM,4/29/2016,145.94
IBM,3/31/2016,151.45
IBM,2/29/2016,131.03
IBM,1/29/2016,124.79
IBM,12/31/2015,137.62
IBM,11/30/2015,139.42
IBM,10/30/2015,140.08
IBM,9/30/2015,144.97
IBM,8/31/2015,147.89
IBM,7/31/2015,161.99
IBM,6/30/2015,162.66
IBM,5/29/2015,169.65
IBM,4/30/2015,171.29
IBM,3/31/2015,160.5
IBM,2/27/2015,161.94
IBM,1/30/2015,153.31
NFLX,1/3/2022,597.37
NFLX,12/31/2021,602.44
NFLX,11/30/2021,641.9
NFLX,10/29/2021,690.31
NFLX,9/30/2021,610.34
NFLX,8/31/2021,569.19
NFLX,7/30/2021,517.57
NFLX,6/30/2021,528.21
NFLX,5/28/2021,502.81
NFLX,4/30/2021,513.47
NFLX,3/31/2021,521.66
NFLX,2/26/2021,538.85
NFLX,1/29/2021,532.39
NFLX,12/31/2020,540.73
NFLX,11/30/2020,490.7
NFLX,10/30/2020,475.74
NFLX,9/30/2020,500.03
NFLX,8/31/2020,529.56
NFLX,7/31/2020,488.88
